City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
53,Arraial Do Cabo,BR,2019-11-12 03:28:41,-22.97,-42.02,71.6,88,90,5.82,overcast clouds,0.0,0.0
54,Kelvington,CA,2019-11-12 03:28:41,52.16,-103.52,-1.41,87,0,9.48,clear sky,0.0,0.0
55,Lebu,ET,2019-11-12 03:28:41,8.96,38.73,51.8,71,20,2.28,few clouds,0.0,0.0
56,Katsuura,JP,2019-11-12 03:28:41,33.93,134.5,68.0,52,40,12.75,scattered clouds,0.0,0.0
57,Mahebourg,MU,2019-11-12 03:28:42,-20.41,57.7,77.0,94,75,5.82,light intensity shower rain,0.0,0.0
58,Obo,CF,2019-11-12 03:28:42,5.39,26.49,68.85,84,88,1.86,light rain,0.19,0.0
59,Upernavik,GL,2019-11-12 03:28:42,72.79,-56.15,24.82,64,79,5.53,broken clouds,0.0,0.0
60,Geraldton,CA,2019-11-12 03:28:42,49.72,-86.95,-0.41,64,90,9.17,overcast clouds,0.0,0.0
61,Saint-Georges,CA,2019-11-12 03:28:42,46.12,-70.67,19.0,90,100,8.32,snow,0.0,3.63
62,Cidreira,BR,2019-11-12 03:28:43,-30.17,-50.22,69.06,83,62,28.43,light rain,1.19,0.0
63,Touros,BR,2019-11-12 03:28:43,-5.2,-35.46,75.2,83,20,3.36,few clouds,0.0,0.0
64,Cabo San Lucas,MX,2019-11-12 03:28:43,22.89,-109.91,73.99,78,90,5.82,overcast clouds,0.0,0.0
65,Aksarka,RU,2019-11-12 03:28:43,66.56,67.8,0.77,98,82,9.37,broken clouds,0.0,0.0
66,Warrington,GB,2019-11-12 03:28:43,53.39,-2.59,45.0,81,75,21.92,light intensity shower rain,0.0,0.0
67,Hamilton,CA,2019-11-12 03:24:22,43.26,-79.87,27.0,85,90,14.99,light snow,0.0,0.0
68,Maxixe,MZ,2019-11-12 03:28:44,-23.86,35.35,75.06,79,100,12.71,light rain,0.44,0.0
69,Nhulunbuy,AU,2019-11-12 03:28:44,-12.18,136.78,89.6,49,20,12.75,few clouds,0.0,0.0
70,La Rioja,AR,2019-11-12 03:26:24,-29.41,-66.86,68.94,68,100,4.07,light rain,1.69,0.0
